x,y
-773.0,391.0
-758.0,391.0
-758.0,391.0
-757.1953343128328,390.9675730813421
-756.3958871914224,390.8705026263791
-755.6068433571244,390.7094181742605
-754.8333200619853,390.48536441947147
-754.0803339013993,390.19979443658826
-753.3527682795623,389.8545602565321
-752.655341738722,389.45190085543794
-751.9925773576202,388.994427634035
-751.368773417592,388.485107481711
-750.7879755265618,387.927243535096
-750.2539503817235,387.32445375595375
-749.7701613410634,386.68064746731153
-749.3397459621556,386.0
-748.9654956538961,385.28692561403057
-748.6498375731459,384.54604887042535
-748.3948188836863,383.7821746391645
-748.2020934795773,383.00025693776047
-748.0729112590194,382.2053668025532
-748.0081100182844,381.4026594010941
-748.0081100182844,380.5973405989059
-748.0729112590194,379.7946331974468
-748.2020934795773,378.99974306223953
-748.3948188836863,378.2178253608355
-748.6498375731459,377.45395112957465
-748.9654956538961,376.71307438596943
-749.3397459621556,376.0
-749.7701613410634,375.31935253268847
-750.2539503817235,374.67554624404625
-750.7879755265618,374.072756464904
-751.368773417592,373.514892518289
-751.9925773576202,373.005572365965
-752.655341738722,372.54809914456206
-753.3527682795623,372.1454397434679
-754.0803339013993,371.80020556341174
-754.8333200619853,371.51463558052853
-755.6068433571244,371.2905818257395
-756.3958871914224,371.1294973736209
-757.1953343128328,371.0324269186579
-758.0,371.0
-758.0,371.0
-758.8108926381796,370.9560346786577
-759.6122783015827,370.82465416782566
-760.3947614760199,370.607398783871
-761.149168261702,370.3068156475322
-761.8666539288276,369.92642882125693
-762.5388066139533,369.47069799279234
-763.1577459414007,368.9449661894235
-763.7162154134572,368.3553971358637
-764.2076674861767,367.7089029902179
-764.6263403333452,367.0130633052484
-764.9673253986259,366.27603616504933
-765.2266249438942,365.5064625389692
-765.4011989190615,364.71336497414575
-765.4890006038835,363.9060418143906
-765.4890006038835,363.0939581856094
-765.4011989190615,362.28663502585425
-765.2266249438942,361.4935374610308
-764.9673253986259,360.72396383495067
-764.6263403333452,359.9869366947516
-764.2076674861767,359.2910970097821
-763.7162154134572,358.6446028641363
-763.1577459414007,358.0550338105765
-762.5388066139533,357.52930200720766
-761.8666539288276,357.07357117874307
-761.149168261702,356.6931843524678
-760.3947614760199,356.392601216129
-759.6122783015827,356.17534583217434
-758.8108926381796,356.0439653213423
-758.0,356.0
-758.0,356.0
-757.1770270485963,355.9318065170136
-756.3765026539766,355.7290862085032
-755.6202630348147,355.39736875603245
-754.9289364365517,354.945702546982
-754.3213804466343,354.3864078581287
-753.8141676086874,353.73474079061214
-753.4211333667247,353.00847712326487
-753.1529986703033,352.227427435704
-753.0170775349667,351.41289672736167
-753.0170775349667,350.58710327263833
-753.1529986703033,349.772572564296
-753.4211333667247,348.99152287673513
-753.8141676086874,348.26525920938786
-754.3213804466343,347.6135921418713
-754.9289364365517,347.054297453018
-755.6202630348147,346.60263124396755
-756.3765026539766,346.2709137914968
-757.1770270485963,346.0681934829864
-758.0,346.0
-768.0,346.0
-768.0,346.0
-768.4128967273616,346.01707753496663
-768.8229729514037,346.0681934829864
