x,y
-743.7782997107794,400.9587505094433
-741.8945841249,402.83874901290784
-740.0183027038503,404.6890988169161
-738.1568602732076,406.48061879971345
-736.3176030958338,408.185055620969
-734.507789879531,409.7755292938304
-732.734563130239,411.22695709837365
-731.0049209638272,412.5164491510801
-729.3256894877279,413.6236693919735
-727.7034958614095,414.5311562964336
-726.1447421420052,415.22459825387057
-724.6555800183187,415.6930592703736
-723.2418865329187,415.92915143586737
-721.909240888137,415.92915143586737
-720.6629024275057,415.6930592703736
-719.507789879531,415.22459825387057
-718.4484619457189,414.5311562964336
-717.4890993094634,413.6236693919735
-716.6334881367987,412.5164491510801
-715.8850051341318,411.22695709837365
-715.2466042219248,409.7755292938304
-714.7208048769204,408.185055620969
-714.3096821889187,406.48061879971345
-714.014858671345,404.6890988169161
-713.8374978579312,402.83874901290784
-713.7782997107794,400.9587505094433
-713.8374978579312,399.07875200597874
-714.014858671345,397.2284022019705
-714.3096821889187,395.4368822191731
-714.7208048769204,393.73244539791756
-715.2466042219248,392.1419717250562
-715.8850051341318,390.69054392051294
-716.6334881367987,389.4010518678065
-717.4890993094634,388.29383162691306
-718.4484619457189,387.386344722453
-719.507789879531,386.692902765016
-720.6629024275057,386.22444174851296
-721.909240888137,385.9883495830192
-723.2418865329187,385.9883495830192
-724.6555800183187,386.22444174851296
-726.1447421420052,386.692902765016
-727.7034958614095,387.386344722453
-729.3256894877279,388.29383162691306
-731.0049209638272,389.4010518678065
-732.734563130239,390.69054392051294
-734.507789879531,392.1419717250562
-736.3176030958338,393.73244539791756
-738.1568602732076,395.4368822191731
-740.0183027038503,397.2284022019705
-741.8945841249,399.07875200597874
-743.7782997107794,400.9587505094433
-745.6620152966588,402.83874901290784
-747.5382967177085,404.6890988169161
-749.3997391483512,406.48061879971345
-751.238996325725,408.185055620969
-753.0488095420278,409.7755292938304
-754.8220362913197,411.22695709837365
-756.5516784577316,412.5164491510801
-758.2309099338308,413.6236693919735
-759.8531035601493,414.5311562964336
-761.4118572795536,415.22459825387057
-762.9010194032401,415.6930592703736
-764.3147128886401,415.92915143586737
-765.6473585334218,415.92915143586737
-766.893696994053,415.6930592703736
-768.0488095420278,415.22459825387057
-769.1081374758398,414.53115629643355
-770.0675001120953,413.6236693919735
-770.92311128476,412.5164491510801
-771.671594287427,411.22695709837365
-772.3099951996339,409.7755292938304
-772.8357945446384,408.185055620969
-773.24691723264,406.48061879971345
-773.5417407502138,404.6890988169161
-773.7191015636275,402.83874901290784
-773.7782997107794,400.9587505094433
-773.7191015636275,399.07875200597874
-773.5417407502138,397.2284022019705
-773.24691723264,395.4368822191731
-772.8357945446384,393.73244539791756
-772.3099951996339,392.1419717250562
-771.671594287427,390.690543920513
-770.92311128476,389.4010518678065
-770.0675001120953,388.29383162691306
-769.1081374758398,387.386344722453
-768.0488095420278,386.692902765016
-766.893696994053,386.22444174851296
-765.6473585334218,385.9883495830192
-764.3147128886401,385.9883495830192
-762.9010194032401,386.22444174851296
-761.4118572795536,386.69290276501596
-759.8531035601493,387.386344722453
-758.2309099338308,388.29383162691306
-756.5516784577316,389.4010518678065
-754.8220362913197,390.69054392051294
-753.0488095420278,392.1419717250562
-751.238996325725,393.73244539791756
-749.3997391483512,395.4368822191731
-747.5382967177085,397.2284022019705
-745.6620152966588,399.07875200597874
