x,y
-773.0139773490022,391.0932496775699
-758.0139773490022,391.0932496775699
-758.0139773490022,391.0932496775699
-757.2093116618349,391.06082275891197
-756.4098645404246,390.963752303949
-755.6208207061266,390.8026678518304
-754.8472974109875,390.57861409704134
-754.0943112504015,390.29304411415814
-753.3667456285644,389.947809934102
-752.6693190877241,389.5451505330078
-752.0065547066224,389.08767731160486
-751.3827507665942,388.57835715928087
-750.801952875564,388.0204932126659
-750.2679277307257,387.4177034335236
-749.7841386900656,386.7738971448814
-749.3537233111578,386.0932496775699
-748.9794730028983,385.38017529160044
-748.663814922148,384.6392985479952
-748.4087962326885,383.8754243167344
-748.2160708285795,383.09350661533034
-748.0868886080216,382.2986164801231
-748.0220873672865,381.495909078664
-748.0220873672865,380.69059027647575
-748.0868886080216,379.88788287501666
-748.2160708285795,379.0929927398094
-748.4087962326885,378.31107503840536
-748.663814922148,377.5472008071445
-748.9794730028983,376.8063240635393
-749.3537233111578,376.0932496775699
-749.7841386900656,375.41260221025834
-750.2679277307257,374.7687959216161
-750.801952875564,374.16600614247386
-751.3827507665942,373.6081421958589
-752.0065547066224,373.0988220435349
-752.6693190877241,372.64134882213193
-753.3667456285644,372.23868942103775
-754.0943112504015,371.8934552409816
-754.8472974109875,371.6078852580984
-755.6208207061266,371.38383150330935
-756.4098645404246,371.22274705119077
-757.2093116618349,371.1256765962278
-758.0139773490022,371.0932496775699
-758.0139773490022,371.0932496775699
-758.8248699871817,371.0492843562276
-759.6262556505849,370.91790384539553
-760.408738825022,370.7006484614409
-761.1631456107042,370.40006532510205
-761.8806312778298,370.0196784988268
-762.5527839629555,369.5639476703622
-763.1717232904028,369.03821586699337
-763.7301927624594,368.4486468134336
-764.2216448351788,367.80215266778777
-764.6403176823474,367.1063129828183
-764.9813027476281,366.3692858426192
-765.2406022928964,365.59971221653905
-765.4151762680636,364.8066146517156
-765.5029779528857,363.9992914919605
-765.5029779528857,363.18720786317925
-765.4151762680636,362.3798847034241
-765.2406022928964,361.5867871386007
-764.9813027476281,360.81721351252054
-764.6403176823474,360.08018637232146
-764.2216448351788,359.38434668735204
-763.7301927624594,358.73785254170616
-763.1717232904028,358.1482834881464
-762.5527839629555,357.62255168477753
-761.8806312778298,357.16682085631294
-761.1631456107042,356.7864340300377
-760.408738825022,356.48585089369885
-759.6262556505849,356.2685955097442
-758.8248699871817,356.13721499891216
-758.0139773490022,356.0932496775699
-758.0139773490022,356.0932496775699
-757.1910043975985,356.0250561945835
-756.3904800029787,355.82233588607306
-755.6342403838169,355.4906184336023
-754.9429137855539,355.03895222455185
-754.3353577956365,354.4796575356986
-753.8281449576896,353.827990468182
-753.4351107157269,353.10172680083474
-753.1669760193055,352.32067711327386
-753.0310548839689,351.50614640493154
-753.0310548839689,350.6803529502082
-753.1669760193055,349.8658222418659
-753.4351107157269,349.084772554305
-753.8281449576896,348.35850888695774
-754.3353577956365,347.70684181944114
