x,y
-772.9532092797568,391.06627573350863
-772.4951806322395,391.496233955199
-772.0110584995155,391.8965838958166
-771.5027534904684,392.2657455570482
-770.9722716527464,392.6022620264709
-770.4217065558088,392.9048052273197
-769.853231028564,393.17218115979955
-769.2690885842063,393.4033346132575
-768.6715845660943,393.5973533306167
-768.0630770496139,393.7534716086385
-767.4459675359319,393.8710733198031
-766.8226914743683,393.9496943438837
-766.1957086507904,393.98902439961677
-765.5674934799616,393.98890826924054
-764.9405252401571,393.9493464110686
-764.3172782885846,393.87049495768093
-763.7002122962277,393.75266509974034
-763.0917625406476,393.5963218578648
-762.4943302950552,393.4020822474035
-761.9102733515832,393.1707128433593
-761.3418967161571,392.9031267550674
-760.7914435116903,392.60038002256977
-760.2610861255029,392.26366744890777
-759.7529176359008,391.89431788478026
-759.2689435517523,391.4937889841772
-758.8110738976608,391.0636614516849
-758.3811156759705,390.60563280416756
-757.9807657353529,390.1215106714436
-757.6116040741213,389.61320566239647
-757.2750876046986,389.0827238246745
-756.9725444038498,388.5321587277369
-756.7051684713699,387.96368320049214
-756.4740150179119,387.3795407561345
-756.2799963005527,386.7820367380225
-756.123878022531,386.173529221542
-756.0062763113664,385.55641970786
-755.9276552872858,384.93314364629646
-755.8883252315527,384.30616082271854
-755.8884413619289,383.6779456518898
-755.9280032201009,383.05097741208516
-756.0068546734885,382.42773046051275
-756.1246845314291,381.81066446815584
-756.2810277733047,381.2022147125757
-756.475267383766,380.60478246698335
-756.7066367878101,380.02072552351126
-756.9742228761021,379.45234888808517
-757.2769696085998,378.9018956836184
-757.6136821822618,378.37153829743096
-757.9830317463892,377.8633698078288
-758.3835606469922,377.3793957236803
-758.8136881794845,376.92152606958894
-759.2717168270019,376.4915678478986
-759.7558389597258,376.09121790728096
-760.2641439687729,375.72205624604936
-760.794625806495,375.3855397766267
-761.3451909034326,375.0829965757779
-761.9136664306774,374.815620643298
-762.497808875035,374.58446718984004
-763.095312893147,374.39044847248084
-763.7038204096275,374.23433019445906
-764.3209299233094,374.1167284832945
-764.9442059848731,374.03810745921385
-765.571188808451,373.9987774034808
-766.1994039792797,373.99889353385703
-766.8263722190843,374.038455392029
-767.4496191706568,374.11730684541664
-768.0666851630136,374.2351367033572
-768.6751349185938,374.3914799452328
-769.2725671641862,374.5857195556941
-769.8566241076581,374.81708895973827
-770.4250007430843,375.0846750480302
-770.975453947551,375.3874217805278
-771.5058113337385,375.7241343541898
-772.0139798233406,376.0934839183173
-772.4979539074891,376.4940128189204
-772.9558235615806,376.9241403514127
-773.3857817832709,377.38216899892996
-773.7861317238885,377.86629113165395
-774.1552933851201,378.37459614070104
-774.4918098545428,378.9050779784231
-774.7943530553915,379.4556430753607
-775.0617289878714,380.0241186026054
-775.2928824413294,380.6082610469631
-775.4869011586886,381.20576506507507
-775.6430194367103,381.81427258155554
-775.760621147875,382.43138209523755
-775.8392421719556,383.0546581568011
-775.8785722276887,383.68164098037903
-775.8784560973124,384.3098561512078
-775.8388942391405,384.9368243910124
-775.7600427857528,385.5600713425848
-775.6422129278122,386.17713733494173
-775.4858696859367,386.78558709052186
-775.2916300754754,387.3830193361142
-775.0602606714313,387.9670762795863
-774.7926745831393,388.5354529150124
-774.4899278506416,389.08590611947915
-774.1532152769796,389.6162635056666
-773.7838657128522,390.12443199526876
-773.3833368122491,390.60840607941725
