x,y
-772.9640777593443,391.062121952645
-765.4640777593443,391.062121952645
-765.4640777593443,391.062121952645
-765.0617449157606,391.04590849331606
-764.6620213550555,390.99737326583454
-764.2674994379065,390.9168310397753
-763.8807377903369,390.8048041623807
-763.5042447100438,390.6620191709391
-763.1404618991254,390.489402080911
-762.7917486287052,390.288072380364
-762.4603664381543,390.0593357696625
-762.1484644681403,389.8046756935005
-761.8580655226252,389.52574372019296
-761.591052950206,389.22434883062186
-761.349158429876,388.9024456863008
-761.133950740422,388.562121952645
-760.9468255862923,388.20558475966027
-760.7889965459171,387.83514638785766
-760.6614872011874,387.45320927222724
-760.5651244991329,387.0622504215252
-760.500533388854,386.6648053539216
-760.4681327684864,386.2634516531921
-760.4681327684864,385.8607922520979
-760.500533388854,385.45943855136835
-760.5651244991329,385.06199348376475
-760.6614872011874,384.67103463306273
-760.7889965459171,384.2890975174323
-760.9468255862923,383.9186591456297
-761.133950740422,383.562121952645
-761.349158429876,383.2217982189892
-761.591052950206,382.8998950746681
-761.8580655226252,382.598500185097
-762.1484644681403,382.3195682117895
-762.4603664381543,382.0649081356275
-762.7917486287052,381.836171524926
-763.1404618991254,381.63484182437895
-763.5042447100438,381.46222473435085
-763.8807377903369,381.31943974290925
-764.2674994379065,381.2074128655147
-764.6620213550555,381.12687063945543
-765.0617449157606,381.0783354119739
-765.4640777593443,381.062121952645
-765.4640777593443,381.062121952645
-765.8695240784341,381.04013929197384
-766.2702169101356,380.9744490365578
-766.6614584973541,380.86582134458047
-767.0386618901953,380.7155297764111
-767.3974047237581,380.5253363632734
-767.7334810663209,380.29747094904116
-768.0429507300446,380.0346050473567
-768.3221854660729,379.7398205205768
-768.5679115024326,379.41657344775393
-768.7772479260168,379.0686536052692
-768.9477404586572,378.7001400351697
-769.0773902312914,378.31535322212954
-769.164677218875,377.91880443971786
-769.208578061286,377.5151428598403
-769.208578061286,377.1091010454497
-769.164677218875,376.7054394655721
-769.0773902312914,376.3088906831604
-768.9477404586572,375.9241038701203
-768.7772479260168,375.55559030002075
-768.5679115024326,375.20767045753604
-768.3221854660729,374.88442338471316
-768.0429507300446,374.58963885793327
-767.7334810663209,374.3267729562488
-767.3974047237581,374.09890754201655
-767.0386618901953,373.9087141288789
-766.6614584973541,373.7584225607095
-766.2702169101356,373.64979486873216
-765.8695240784341,373.58410461331613
-765.4640777593443,373.562121952645
-765.4640777593443,373.562121952645
-765.0525912836424,373.52802521115177
-764.6523290863325,373.4266650568966
-764.2742092767515,373.2608063306612
-763.92854597762,373.03497322613595
-763.6247679826614,372.7553258817093
-763.3711615636879,372.42949234795105
-763.1746444427066,372.0663605142774
-763.0405770944959,371.675835670497
-762.9726165268276,371.2685703163258
-762.9726165268276,370.8556735889642
-763.0405770944959,370.44840823479296
-763.1746444427066,370.0578833910126
-763.3711615636879,369.6947515573389
-763.6247679826614,369.36891802358065
-763.92854597762,369.089270679154
-764.2742092767515,368.8634375746288
-764.6523290863325,368.6975788483934
-765.0525912836424,368.5962186941382
-765.4640777593443,368.562121952645
-770.4640777593443,368.562121952645
-770.4640777593443,368.562121952645
-770.6705261230251,368.57066072012833
-770.8755642350461,368.5962186941382
-771.0777914771962,368.63862128779664
-771.275826432356,368.6975788483934
-771.4683163209767,368.77268863600733
-771.653946241937,368.86343757462873
-771.8314481546504,368.9692057569887
-771.9996095410685,369.089270679154
-772.1572816884086,369.22281217596213
-772.3033875360271,369.36891802358065
-772.4369290328352,369.5265901709208
-772.5569939550006,369.6947515573389
-772.6627621373605,369.8722534700523
-772.7535110759819,370.0578833910126
-772.8286208635958,370.25037327963327
-772.8875784241926,370.44840823479296
-772.9299810178511,370.65063547694314
-772.955538991861,370.8556735889642
-772.9640777593443,371.062121952645
-772.9640777593443,371.062121952645
-772.9860604200154,371.46756827173476
-773.0517506754314,371.86826110343634
-773.1603783674087,372.2595026906549
-773.3106699355782,372.636706083496
-773.5008633487158,372.9954489170588
-773.7287287629481,373.3315252596216
-773.9915946646325,373.6409949233453
-774.2863791914124,373.9202296593736
-774.6096262642353,374.1659556957333
-774.9575461067201,374.3752921193176
-775.3260596768196,374.54578465195794
-775.7108464898597,374.6754344245921
-776.1073952722714,374.7627214121757
-776.511056852149,374.8066222545867
-776.9170986665396,374.8066222545867
-777.3207602464171,374.7627214121757
-777.7173090288288,374.6754344245921
-778.102095841869,374.54578465195794
-778.4706094119684,374.3752921193176
-778.8185292544532,374.1659556957333
-779.1417763272761,373.9202296593736
-779.436560854056,373.6409949233453
-779.6994267557404,373.3315252596216
-779.9272921699727,372.9954489170588
-780.1174855831104,372.636706083496
-780.2677771512798,372.2595026906549
-780.3764048432571,371.86826110343634
-780.4420950986731,371.46756827173476
-780.4640777593443,371.062121952645
-780.4640777593443,371.062121952645
-780.4726165268276,370.8556735889642
-780.4981745008374,370.65063547694314
-780.5405770944959,370.44840823479296
-780.5995346550927,370.25037327963327
-780.6746444427066,370.0578833910126
-780.7653933813281,369.8722534700523
-780.8711615636879,369.6947515573389
-780.9912264858533,369.5265901709208
-781.1247679826614,369.36891802358065
-781.2708738302799,369.22281217596213
-781.42854597762,369.089270679154
-781.5967073640381,368.9692057569887
-781.7742092767515,368.86343757462873
-781.9598391977119,368.77268863600733
-782.1523290863325,368.6975788483934
-782.3503640414923,368.63862128779664
-782.5525912836424,368.5962186941382
-782.7576293956635,368.57066072012833
-782.9640777593443,368.562121952645
-782.9640777593443,368.562121952645
-783.288585327293,368.56914558551665
-783.6124851027027,368.5902033290866
-783.9351704314109,368.6252557428589
-784.2560369338755,368.6742371747573
-784.5744836371597,368.73705588408984
-784.8899141005345,368.81359421337606
-785.2017375325942,368.90370880871575
-785.5093698977902,369.0072308882865
-785.812235010311,369.1239665584667
-786.109765613261,369.2536971769923
-786.4014044411135,369.39617976246683
-786.6866052634534,369.551147449458
-786.9648339080484,369.71830998832843
-787.2355692613373,369.8973542888639
-787.4983042444597,370.0879450066819
-787.7525467629987,370.28972517132087
-787.9978206286578,370.50231685483493
-788.2336664511479,370.725321879641
-788.4596424986097,370.9583225642929
-788.6753255249646,371.200882505786
-788.8803115626408,371.45254739692604
-789.0742166791925,371.71284587723244
-789.2566776963928,371.9812904157818
-789.4273528704555,372.2573782243381
-789.5859225321104,372.54059219905923
-789.7320896853342,372.8304018890166
-789.8655805636142,373.1262644897129
-789.9861451427049,373.42762585973804
-790.0935576089155,373.7339215586587
-790.1876167820516,374.0445779041978
-790.2681464922198,374.3590130467232
-790.3349959097883,374.6766380590341
-790.3880398278859,374.99685803940315
-790.4271788969108,375.31907322580906
-790.4523398106094,375.6426801192718
-790.4634754433758,375.9670726141875
-790.4605649385181,376.29164313354534
-790.4436137473208,376.6157837669002
-790.4126536188354,376.93888740897023
-790.3677425404157,377.26034889672565
-790.3089646291089,377.5795661428405
-790.236429974107,377.8959412633833
-790.1502744305529,378.20888169763504
-790.050659365089,378.51780131793674
-789.9377713536215,378.82212152748855
-789.8118218318698,379.12127234404306
-789.6730466993542,379.41469346746476
-789.5217058775636,379.7018353291541
-789.3580828231298,379.98216012137294
-789.1824839969235,380.2551428045411
-788.9952382900613,380.5202720906194
-788.7966964079036,380.7770514007362
-788.5872302131945,381.02499979526385
-788.3672320295743,381.26365287460396
-788.1371139067692,381.492563648993
-787.8973068488358,381.7113033757004
-787.6482600069033,381.91946236205035
-787.3904398379279,382.1166507327629
-787.1243292310335,382.3024991601788
-772.9640777593443,391.062121952645
